410575	769
410577	5
410578	1
410580	31
410582	36
410584	39
410586	43
410588	61
410590	63
410592	90
410594	96
410596	101
410598	114
410600	116
410602	120
410604	132
410606	139
410608	140
410610	142
410612	145
410614	146
410616	151
410618	153
410620	154
410622	155
410624	165
410626	176
410628	187
410630	188
410632	190
410634	196
410636	197
410638	198
410640	205
410642	214
410644	223
410646	224
410648	234
410650	236
410652	243
410654	249
410656	252
410658	255
410660	257
410662	261
410664	266
410666	268
410668	270
410670	279
410672	284
410674	296
410676	298
410678	305
410680	309
410682	312
410684	315
410686	321
410688	330
410690	335
410692	336
410694	341
410696	344
410698	352
410700	353
410702	361
410704	365
410706	373
410708	375
410710	377
410712	381
410714	413
410716	415
410718	424
410720	431
410722	436
410724	455
410726	463
410728	475
410730	477
410732	479
410734	481
410736	483
410738	484
410740	487
410742	490
410744	498
410746	503
410748	511
410750	517
410752	520
410754	532
410756	535
410758	552
410760	563
410762	578
410764	589
410766	592
410768	605
410770	609
410772	615
410774	622
410776	623
410778	626
410780	631
410782	638
410784	641
410786	652
410788	654
410790	659
410792	664
410794	666
410796	668
410798	676
410800	682
410802	685
410804	692
410806	694
410808	699
410810	701
410812	709
410814	732
410816	735
410818	738
410820	754
410822	756
410825	30
410826	2
410828	45
410830	79
410832	85
410837	161
410839	170
410842	213
410844	226
410847	253
410849	265
410851	278
410853	280
410855	283
410857	323
410859	332
410861	339
410863	355
410865	359
410867	366
410870	383
410872	396
410874	406
410876	420
410878	432
410880	438
410882	442
410884	453
410886	457
410888	460
410891	512
410893	519
410895	522
410897	534
410899	537
410901	538
410903	554
410905	560
410907	585
410909	596
410912	632
410915	670
410917	672
410919	689
410923	3
410925	371
410928	416
410931	550
410933	657
410935	130
410936	4
410939	162
410941	254
410943	303
410947	445
410949	555
410951	582
410953	606
410955	625
410957	649
410959	669
410962	12
410964	16
410967	56
410969	69
410971	81
410976	127
410983	158
410986	180
410988	195
410991	199
410994	210
410996	232
411000	259
411002	263
411005	273
411009	301
411018	400
411026	478
411031	489
411035	528
411038	543
411040	544
411042	571
411044	576
411048	598
411050	602
411053	630
411057	647
411065	687
411070	767
411072	6
411074	42
411076	53
411078	70
411081	133
411083	152
411085	175
411087	186
411089	200
411091	251
411095	314
411098	334
411100	342
411105	443
411107	444
411111	482
411113	500
411115	516
411118	574
411120	671
411123	691
411125	726
411128	763
411130	78
411131	7
411134	128
411136	302
411138	14
411139	8
411141	25
411143	59
411147	157
411149	168
411151	202
411153	203
411157	275
411166	502
411171	601
411176	679
411180	700
411182	705
411184	715
411186	718
411188	746
411190	748
411193	468
411194	9
411198	44
411199	10
411202	102
411204	126
411206	160
411210	225
411212	228
411214	308
411216	322
411218	362
411225	529
411228	569
411230	616
411233	646
411235	655
411241	731
411243	740
411248	11
411253	52
411255	72
411259	83
411263	118
411276	217
411278	229
411280	240
411288	343
411292	376
411295	385
411298	423
411301	448
411304	459
411306	467
411312	499
411316	525
411319	559
411323	591
411325	595
411333	665
411339	697
411341	702
411343	716
411346	719
411350	745
411354	74
411355	13
411357	106
411361	82
411364	95
411366	149
411368	150
411371	174
411379	262
411381	310
411386	348
411388	364
411390	404
411392	405
411396	429
411398	433
411401	473
411403	494
411411	656
411419	727
411422	15
411424	65
411426	77
411434	244
411438	282
411441	378
411444	390
411446	393
411448	412
411450	418
411453	421
411457	465
411461	514
411466	562
411468	570
411470	590
411475	688
411478	747
411480	17
411482	18
411484	27
411486	47
411493	113
411504	191
411509	204
411515	260
411523	333
411525	338
411532	380
411535	391
411538	399
411545	419
411550	425
411554	461
411556	462
411559	472
411569	515
411575	567
411580	588
411584	624
411587	644
411592	678
411598	722
411600	724
411602	736
411604	742
411607	764
411609	50
411611	64
411613	104
411615	110
411619	367
411621	388
411624	409
411628	427
411631	621
411633	639
411635	19
411639	54
411641	62
411646	93
411648	103
411651	117
411654	136
411657	166
411662	237
411668	267
411670	291
411672	307
411674	318
411683	411
411686	440
411691	476
411694	509
411699	530
411701	546
411703	557
411705	573
411711	613
411713	619
411715	620
411720	637
411722	650
411728	730
411732	750
411735	757
411737	759
411740	20
411743	86
411746	115
411749	167
411753	241
411755	242
411758	256
411762	319
411764	320
411766	345
411771	434
411773	452
411777	495
411789	645
411792	714
411794	717
411797	737
411799	768
